"","firstname","lastname","unow","uphd","yearphd","citecount"
"1","Ronald","Inglehart","U of Michigan","U of Chicago","1967","94125"
"2","Robert O.","Keohane","Stanford U","Harvard U","1966","89856"
"3","Robert","Axelrod","U of Michigan","Yale U","1969","71958"
"4","Nancy","Fraser","New School for Social Research","SUNY","1980","63820"
"5","Gary","King","Harvard U","U of Wisconsin Madison","1984","62048"
"6","Barry R.","Weingast","Stanford U","Caltech","1978","57747"
"7","Jon","Elster","Columbia U","U of Paris","1972","54727"
"8","James","Scott","Yale U","Yale U","1967","54367"
"9","Theda","Skocpol","Harvard U","Harvard U","1975","47410"
"10","Adam","Przeworski","New York U","Northwestern U","1966","46562"
"11","Peter A.","Hall","Harvard U","Harvard U","1982","43305"
"12","B. Guy","Peters","U of Pittsburgh","Michigan State U","1970","42666"
"13","Paul","Pierson","UC Berkeley","Yale U","1989","35966"
"14","Jon A.","Krosnick","Stanford U","U of Michigan","1986","34143"
"15","Larry","Diamond","Stanford U","Stanford U","1980","33133"
"16","Stephen D.","Krasner","Stanford U","Harvard U","1972","32851"
"17","Seyla","Benhabib","Yale U","Yale U","1977","32194"
"18","Todd","Sandler","U of Texas Dallas","SUNY Binghamton","1971","31849"
"19","Andrew","Moravcsik","Princeton U","Harvard U","1992","31683"
"20","James D.","Fearon","Stanford U","UC Berkeley","1992","31287"
"21","Shanto","Iyengar","Stanford U","U of Iowa","1973","29947"
"22","Mathew D.","McCubbins","Duke U","Caltech","1983","28764"
"23","Gary","Marks","UNC Chapel Hill","Stanford U","1982","28594"
"24","Peter J.","Katzenstein","Cornell U","Princeton U","1992","28166"
"25","Morris P.","Fiorina","Stanford U","U of Rochester","1972","27731"
"26","Donald","Green","Columbia U","UC Berkeley","1988","27208"
"27","James H.","Fowler","UC San Diego","Harvard U","2003","26956"
"28","David","Sears","UCLA","Yale U","1962","26167"
"29","John","Mearsheimer","U of Chicago","Cornell U","1980","26092"
"30","Donald","Kinder","U of Michigan","UCLA","1975","25922"
"31","Stephan","Haggard","UC San Diego","UC Berkeley","1983","25166"
"32","Brian J.L.","Berry","U of Texas Dallas","U of Washington","1958","25080"
"33","Kathleen","Thelen","MIT","UC Berkeley","1987","24903"
"34","Henry E.","Brady","UC Berkeley","MIT","1980","24855"
"35","W. Lance","Bennett","U of Washington","Yale U","1974","24731"
"36","Mark J.","Miller","U of Delaware","U of Wisconsin Madison","1978","24642"
"37","Robert","Jervis","Columbia U","UC Berkeley","1968","24409"
"38","Alfred","Stepan","Columbia U","Columbia U","1969","24384"
"39","Gary W.","Cox","Stanford U","Caltech","1983","24354"
"40","David D.","Laitin","Stanford U","UC Berkeley","1974","23819"
"41","Liesbet","Hooghe","UNC Chapel Hill","U of Leuven","1989","22676"
"42","Terry M.","Moe","Stanford U","U of Minnesota","1976","22508"
"43","Susan","Rose-Ackerman","Yale U","Yale U","1970","22474"
"44","Kenneth","Shepsle","Harvard U","U of Rochester","1970","22248"
"45","Kay Lehman","Schlozman","Boston College","U of Chicago","1973","22090"
"46","Scott","Mainwaring","Harvard U","Stanford U","1983","21610"
"47","Howard","Rosenthal","New York U","MIT","1964","21458"
"48","Herbert P.","Kitschelt","Duke U","Bielefeld U","1979","21443"
"49","George","Tsebelis","U of Michigan","Washington U St. Louis","1985","21440"
"50","Frank R.","Baumgartner","UNC Chapel Hill","U of Michigan","1986","21432"
"51","James","Thurber","American U","Indiana U","1974","21134"
"52","Kenneth J.","Meier","Texas A&M","Syracuse U","1975","20610"
"53","John","Zaller","UCLA","UC Berkeley","1984","20541"
"54","Bryan","Jones","UT Austin","UT Austin","1970","20491"
"55","Michael","Laver","New York U","U of Liverpool","1981","20438"
"56","Amy","Gutmann","U of Pennsylvania","Harvard U","1976","19876"
"57","Michael","Sandel","Harvard U","U of Oxford","1981","19871"
"58","Peter M.","Haas","U of Massachusetts Amherst","MIT","1986","19749"
"59","Mahmood","Mamdani","Columbia U","Harvard U","1974","19507"
"60","Robert","Bates","Harvard U","MIT","1969","19482"
"61","Edward G.","Carmines","Indiana U","SUNY Buffalo","1975","19370"
"62","Nathaniel","Beck","New York U","Yale U","1977","19087"
"63","Matthew S.","Shugart","UC Davis","UC Irvine","1988","18891"
